titulo,endereco,preco,area,quartos,banheiros,vagas,bairro,latitude,longitude,dist_escola,qtd_escola_500m,dist_hospital,qtd_hospital_500m,dist_parque,qtd_parque_500m,dist_farmacia,qtd_farmacia_500m,score_educacao,score_lazer,score_saude
Apartamento em Olarias,"Rua Paula Xavier, 239 - Olarias",81934,57,2,1,1,Olarias,-25.099903743790584,-50.14457749888977,253.22921380646588,1,1458.0428011211013,0,934.6525640724466,0,1341.6541582952452,0,3.331022919151584,0.9665080189469087,0.6418308914751524
Apartamento em Ronda,"Rua Paula Xavier, 1653 - Ronda",176174,57,2,1,1,Ronda,-25.097320605123883,-50.18232580503408,456.9266102780931,1,1392.9468927258572,0,1470.6140390431947,0,2000.6334231619126,0,2.2955687186515736,0.6366936593850847,0.6698161902960773
Apartamento em Boa Vista,"Rua do Rosario, 2950 - Boa Vista",117966,49,2,1,0,Boa Vista,-25.062236629177864,-50.16129019029035,474.87094507380317,1,447.92342264309946,1,710.5308788034137,0,976.8273266924738,0,2.239520858671363,1.2337592880807942,2.325072553343589
Apartamento em Neves,"Av. Carlos Cavalcanti, 1630 - Neves",56638,43,1,1,0,Neves,-25.05335114474692,-50.145165768731104,160.12990817725145,1,969.701643520368,0,1271.104628417539,0,1136.1123170393937,0,4.344233087256557,0.7293389426845932,0.934840108040798
Apartamento em Santo Antonio,"Av. Vicente Machado, 1020 - Santo Antonio",157730,74,3,2,1,Santo Antonio,-25.061938396691467,-50.11394044925245,928.1839742312305,0,2317.407353906967,0,744.2971751419831,0,3992.3263437055384,0,0.9725885882900446,1.184417086118798,0.41366631833224937
Apartamento em Olarias,"Rua Comendador Miró, 2404 - Olarias",88796,32,1,1,0,Olarias,-25.100911044563738,-50.141178584974526,377.6093732400987,1,1393.9821880977677,0,1158.0222577185154,0,1693.5187716458988,0,2.59376125350306,0.7948984955270574,0.6693520230473853
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 1492 - Vila Estrela",422431,77,2,2,1,Vila Estrela,-25.110112378874224,-50.14815984362536,408.5133186446544,1,1445.5370899673205,0,678.1594980619099,0,2002.3373167162229,0,2.4665168311919734,1.2850835882497198,0.6470242652158833
Apartamento em Ronda,"Av. Vicente Machado, 2097 - Ronda",127300,65,2,1,1,Ronda,-25.099828229465466,-50.186648648354215,392.32879108281236,1,1514.332812439326,0,1436.1980230168629,0,2511.5148695548996,0,2.53116295067902,0.6509577443903682,0.6194509535421987
Apartamento em Santa Paula,"Rua Balduino Taques, 459 - Santa Paula",239385,72,3,2,1,Santa Paula,-25.132960747828253,-50.18107906104994,700.403720119867,0,2826.4693738727033,0,989.2500694180619,0,4887.486710851122,0,1.2493695054918559,0.9180628287995022,0.34170868450834446
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 1739 - Jardim Carvalho",295552,79,2,2,1,Jardim Carvalho,-25.073630793859603,-50.15306083262376,450.42812938725723,1,1934.4950675626262,0,302.35507691728793,3,541.5532234446721,0,2.31676761526198,3.985366924313894,0.4915224499403795
Apartamento em Uvaranas,"Rua do Rosario, 1927 - Uvaranas",201845,73,2,2,1,Uvaranas,-25.08712735479512,-50.13150768212272,511.162812102835,0,1567.0967414666936,0,599.3610904375049,0,2555.3984890406855,0,1.6362252090556497,1.4298765168282697,0.5998452130139795
Apartamento em Jardim Sabara,"Rua do Rosario, 57 - Jardim Sabara",107949,51,2,1,1,Jardim Sabara,-25.04438946146196,-50.176917295519786,732.0295150054008,0,2094.352085815495,0,1409.115993179801,0,2366.8352972948655,0,1.201880440495562,0.6626395880232757,0.4557153824420872
Apartamento em Nova Russia,"Rua do Rosario, 1102 - Nova Russia",61367,38,1,1,0,Nova Russia,-25.083376633118974,-50.18570895575284,649.6605242681517,0,986.5386432163731,0,119.22359937293207,4,1984.3688044068108,0,1.333937119039634,6.561552692595155,0.9203538284103717
Apartamento em Neves,"Av. Carlos Cavalcanti, 657 - Neves",258301,82,3,2,1,Neves,-25.04680540824845,-50.14277330041661,244.68967836385596,2,1226.4689862194182,0,1203.7141544260314,0,1623.703087355573,0,3.9011602689895333,0.7670393058210344,0.7538811765589103
Apartamento em Santo Antonio,"Rua Comendador Miró, 2957 - Santo Antonio",178294,73,3,2,1,Santo Antonio,-25.061521186171472,-50.11982778171518,615.858460185201,0,1740.5587182382155,0,896.4873538971824,0,3756.6075426421585,0,1.3969241904905172,1.0035250282796664,0.5433132831302447
Apartamento em Boa Vista,"Av. Vicente Machado, 2089 - Boa Vista",122729,44,1,1,0,Boa Vista,-25.056677803951363,-50.15810375729893,219.19650804899393,2,574.7939083443582,0,508.0371160239087,0,284.0918653100342,1,4.132866352806431,1.6446364434777017,1.4819339469936115
Apartamento em Nova Russia,"Rua Paula Xavier, 2627 - Nova Russia",239864,86,2,2,1,Nova Russia,-25.07908567717825,-50.17622333324322,221.84503817522676,1,771.1313156491505,0,597.595778980851,0,976.3416145955875,0,3.6070853404163885,1.433494912284224,1.1479325585429323
Apartamento em Jardim Sabara,"Av. Vicente Machado, 1541 - Jardim Sabara",215006,87,2,2,1,Jardim Sabara,-25.045102564687785,-50.1777575797528,751.7788585629227,0,2092.587371666493,0,1366.6712099391857,0,2405.137291275336,0,1.174013642093851,0.6818160697662186,0.45608216708825716
Apartamento em Estrela,"Rua do Rosario, 12 - Estrela",74821,85,2,2,1,Estrela,-25.107689870332315,-50.1507128033995,280.95193678813087,1,1075.1384934896098,0,443.7431706210077,1,1659.5593501619346,0,3.1250030605728543,2.33910355850153,0.8509635294393849
Apartamento em Neves,"Rua Balduino Taques, 1496 - Neves",125912,49,1,1,0,Neves,-25.053067301137816,-50.14199089956852,296.76835292440046,2,685.5851430436882,0,949.8274931363092,0,1457.3530791958901,0,3.5203623036702685,0.9525374469023935,1.2729364968965404
Apartamento em Contorno,"Av. Vicente Machado, 2333 - Contorno",77202,30,1,1,0,Contorno,-25.12235320453931,-50.195795159803176,1093.8968915710448,0,2308.152878603811,0,1413.051759254054,0,4786.126969313356,0,0.8375932687822845,0.6609159229906368,0.41525602833810776
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 293 - Uvaranas",139455,60,3,1,1,Uvaranas,-25.08323291953581,-50.13299219143911,53.045636557982014,3,2024.5564624003964,0,587.2235282030701,0,2361.385193763923,0,8.033998763311004,1.4551306219313644,0.47068647865925195
Apartamento em Olarias,"Av. Vicente Machado, 2712 - Olarias",169386,46,1,1,0,Olarias,-25.105006454074548,-50.13861358198502,753.1498923326631,0,1232.1210196587906,0,1423.9326001383863,0,2157.6712683782516,0,1.1721269720445286,0.6561969997289849,0.7506825470377608
Apartamento em Santa Paula,"Av. Vicente Machado, 1095 - Santa Paula",85247,46,1,1,0,Santa Paula,-25.127310240155857,-50.17590242718179,233.3339921319976,2,2211.695257513146,0,1335.6937385269903,0,4103.312408045936,0,3.99999407082374,0.6965273812686483,0.4325829699005269
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 877 - Jardim Sabara",193939,60,2,1,1,Jardim Sabara,-25.04257555244444,-50.1777498589064,924.4277873008082,0,2302.994402195941,0,1627.275484481121,0,2541.404135148668,0,0.9761547006010338,0.5789464442612656,0.4161474529804001
Apartamento em Olarias,"Rua Comendador Miró, 833 - Olarias",130800,63,2,1,1,Olarias,-25.098195773609365,-50.13842041138442,45.1939028874331,1,1150.421187632123,0,842.5219233038019,0,1833.6973265020115,0,7.387341548875415,1.060983278240066,0.7997305307131459
Apartamento em Contorno,"Rua Comendador Miró, 2671 - Contorno",188169,73,2,2,1,Contorno,-25.118479467344187,-50.198635399346166,706.0465567661573,0,1828.1822688140498,0,924.896827634092,0,4683.951683941004,0,1.2406231272942596,0.9757079669262274,0.5186231696939425
Apartamento em Chapada,"Rua do Rosario, 1859 - Chapada",94979,49,1,1,0,Chapada,-25.040081744791586,-50.170123130069015,523.4479550963604,0,2176.5806286577786,0,1767.7669731896112,0,2135.317209444126,0,1.603983126138315,0.5353986949947436,0.4392552529929844
Apartamento em Nova Russia,"Rua Balduino Taques, 1394 - Nova Russia",76520,35,1,1,0,Nova Russia,-25.081490552623805,-50.17823587783276,363.05488251944837,3,537.9559809107222,0,403.18893806351224,1,1204.1278604377044,0,3.659571225248877,2.4873250867724375,1.5675062699035083
Apartamento em Centro,"Av. Vicente Machado, 2420 - Centro",538973,99,3,2,1,Centro,-25.09039884518644,-50.16730974206733,379.1276532226228,1,361.6026162221372,1,444.9969470843559,1,332.2591401679218,1,2.5871264542423686,2.334872663690752,2.6663655379257416
Apartamento em Ronda,"Rua Comendador Miró, 2594 - Ronda",125204,50,3,1,1,Ronda,-25.102099364049906,-50.17858872941255,258.891574067123,2,1371.494193607664,0,1015.1508870370831,0,1965.253113633837,0,3.786356861677035,0.8967396355276773,0.6795813427902823
Apartamento em Oficinas,"Rua Balduino Taques, 1363 - Oficinas",120908,58,2,1,1,Oficinas,-25.11720459103434,-50.14104573894561,453.55325667620104,1,1653.1249864806664,0,200.31886709415406,1,3027.975597663341,0,2.3065109146037353,3.8297941274082072,0.5704099865734406
Apartamento em Uvaranas,"Rua Paula Xavier, 2750 - Uvaranas",93484,42,1,1,0,Uvaranas,-25.08700537868104,-50.13147831976671,499.369649967114,1,1579.3845146600522,0,607.1536012421165,0,2562.0407903971845,0,2.16841948045729,1.4141199284617916,0.5954562467800437
Apartamento em Santa Paula,"Av. Vicente Machado, 2972 - Santa Paula",144629,61,2,1,1,Santa Paula,-25.12570946003366,-50.18100440363589,309.03145325358446,2,2724.0266492251208,0,1654.8871738011856,0,4166.4964955253345,0,3.4447997630637874,0.569837203741106,0.3541043071510632
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 1677 - Santa Paula",228510,57,2,1,1,Santa Paula,-25.126110112365183,-50.18055205184105,247.93861044326874,2,2677.6117736264055,0,1595.4648666312842,0,4183.279642294466,0,3.874070223842115,0.5898087419451504,0.3600215154238117
Apartamento em Orfãs,"Rua Comendador Miró, 1775 - Orfãs",244240,65,3,1,1,Orfãs,-25.066019791421457,-50.173840933716825,292.4181399366901,1,1334.184917784855,0,198.6468370214544,2,1648.0654847178655,0,3.0483021762483578,4.348436601483783,0.69726015634339
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2996 - Chapada",52109,54,2,1,1,Chapada,-25.040636214055773,-50.17245795564209,574.6311817228747,0,2204.956577898486,0,1746.139893031587,0,2251.95500838299,0,1.4822914017199704,0.5416707605824378,0.4338476523109762
Apartamento em Oficinas,"Rua Comendador Miró, 413 - Oficinas",494871,139,3,3,2,Oficinas,-25.11530875793895,-50.14325512430238,517.745474925672,0,1636.8065167216967,0,496.1273523411665,1,2736.323466484697,0,1.6187896805238782,2.177493904738153,0.57576937348643
Apartamento em Oficinas,"Rua Paula Xavier, 457 - Oficinas",241457,73,2,2,1,Oficinas,-25.106307885987157,-50.142739375450745,890.134914361466,0,1671.3791009654049,0,1256.1257817596475,0,1942.6655633524736,0,1.0099633751880126,0.7373947265440565,0.5645318946435566
Apartamento em Ronda,"Rua do Rosario, 1847 - Ronda",93944,38,2,1,0,Ronda,-25.09819794649079,-50.1847018515275,483.81348756582804,1,1593.6916945846306,0,1573.582810571794,0,2259.0043590466375,0,2.2128758093092955,0.5975204774350792,0.590426228809751
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 1904 - Jardim Carvalho",812422,121,3,3,2,Jardim Carvalho,-25.07193587400335,-50.15622128224727,459.69315138370223,1,1640.857019123756,0,290.0502786522632,1,663.4746773830477,0,2.2866932935086814,3.063772043581894,0.5744297142239405
Apartamento em Ronda,"Rua Balduino Taques, 1825 - Ronda",128445,41,1,1,0,Ronda,-25.105609878068464,-50.18726392455557,466.9148267311958,1,1476.8817712298192,0,1536.1991560642857,0,2891.7829906165507,0,2.26393340383414,0.6111725435706742,0.6341629526353737
Apartamento em Olarias,"Rua Comendador Miró, 2224 - Olarias",126778,35,2,1,0,Olarias,-25.10322706052887,-50.14082101924212,588.7150813900948,0,1386.4362179429547,0,1407.7841857944559,0,1861.611894183719,0,1.4519792393417772,0.663224889491129,0.6727500231283904
Apartamento em Centro,"Av. Carlos Cavalcanti, 1999 - Centro",1270141,216,4,4,3,Centro,-25.092425326950288,-50.16740940083827,262.59348098614265,1,499.46466881025594,1,274.3733836794823,1,412.8698837373939,1,3.257909483866913,3.171130063178168,2.168155025690968
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 250 - Santa Paula",78548,46,1,1,0,Santa Paula,-25.12611541660946,-50.17894858767277,124.15007530778946,2,2516.190504874833,0,1536.1073984509067,0,4108.7904219647,0,5.461296738923063,0.6112068198865285,0.38223516144434716
Apartamento em Estrela,"Av. Carlos Cavalcanti, 1096 - Estrela",205180,57,2,1,1,Estrela,-25.107082973914505,-50.15003362082173,250.4202130260498,1,1089.0941110009428,0,533.4677721798115,0,1619.2243827384882,0,3.3537166602477386,1.5786122734530326,0.8409763287434253
Apartamento em Santo Antonio,"Rua Comendador Miró, 2286 - Santo Antonio",69270,55,2,1,1,Santo Antonio,-25.056049705808988,-50.12350178556327,1025.098191480633,0,1256.9362973107259,0,940.2166073012883,0,3312.239610305419,0,0.8888113122677734,0.9613382376141589,0.7369542711635557
Apartamento em Santa Paula,"Rua Paula Xavier, 901 - Santa Paula",102309,62,3,1,1,Santa Paula,-25.12848837111712,-50.1808597329539,298.06966604910804,2,2718.409571075663,0,1373.4517474848285,0,4431.281464627775,0,3.51212309122955,0.6786784852011563,0.3548100355117457
Apartamento em Oficinas,"Rua do Rosario, 259 - Oficinas",273541,106,3,2,2,Oficinas,-25.109910752579413,-50.14663440117121,455.9557146214609,1,1550.645941682483,0,827.6267395752634,0,2046.8510113043842,0,2.2987044178165883,1.0780198083313925,0.6058234384175157
Apartamento em Neves,"Rua do Rosario, 1962 - Neves",91796,49,2,1,0,Neves,-25.04905927007611,-50.13821110980472,251.4929255972842,3,799.4149089119363,0,681.4253757922041,0,1930.9480201153676,0,4.345007472912071,1.2797127287889856,1.1118339156838595
Apartamento em Jardim Sabara,"Rua do Rosario, 654 - Jardim Sabara",116580,37,1,1,0,Jardim Sabara,-25.045697868193,-50.17699261148274,651.3267340914357,0,1991.4885166420443,0,1275.670482475439,0,2306.8697236609655,0,1.330978859962011,0.7269182647581114,0.4781283722300966
Apartamento em Oficinas,"Rua Balduino Taques, 771 - Oficinas",365291,98,3,2,1,Oficinas,-25.11476775027942,-50.14419366406041,409.59661694005666,1,1623.677907604331,0,608.1143620821248,0,2639.7329153579194,0,2.4623364181745124,1.4122012679697962,0.5801547931828278
Apartamento em Uvaranas,"Rua Comendador Miró, 973 - Uvaranas",69198,57,2,1,1,Uvaranas,-25.082289878982465,-50.12936732764306,383.451751509909,3,2057.8490583942225,0,265.16224985006505,1,2695.2154099516392,0,3.568458738388713,3.2385087051320287,0.46342444394333887
Apartamento em Jardim America,"Rua do Rosario, 1018 - Jardim America",186845,69,3,1,1,Jardim America,-25.108217004365137,-50.14094686392415,878.2191566203969,0,1604.9231512121173,0,1080.7681940009668,0,2221.0588676134503,0,1.0222658115333303,0.8469062810809259,0.5865367006653929
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 2702 - Oficinas",99574,44,1,1,0,Oficinas,-25.111461777771574,-50.14845156914598,260.6578488905439,1,1528.216670812445,0,689.8165970966098,0,2130.9071552635382,0,3.272711041992296,1.2661167208640978,0.6141688744047937
Apartamento em Jardim Sabara,"Rua Paula Xavier, 846 - Jardim Sabara",172135,59,2,1,1,Jardim Sabara,-25.04379541528009,-50.17853810663242,899.9941749017195,0,2252.31320423469,0,1531.4699640548251,0,2541.789966768254,0,1.0000058251322126,0.6129441681626909,0.42511345776564796
Apartamento em Neves,"Av. Carlos Cavalcanti, 546 - Neves",162023,60,2,1,1,Neves,-25.05118393505004,-50.14379145211136,387.59323225377386,4,949.261642055067,0,1137.7428371561825,0,1323.2594617477832,0,4.0508898275264364,0.8079222678416653,0.9530511360745219
Apartamento em Contorno,"Rua Balduino Taques, 48 - Contorno",113446,58,2,1,1,Contorno,-25.12025829909286,-50.19892676547089,715.1825279363028,0,2019.9198722621002,0,1022.7592971575838,0,4839.54558588465,0,1.226719128207491,0.8906628540343728,0.47171594223178404
Apartamento em Santo Antonio,"Rua do Rosario, 419 - Santo Antonio",120316,44,1,1,0,Santo Antonio,-25.06315778431455,-50.12112454526728,414.78301271617653,2,1696.9955442612925,0,748.9245915346014,0,3671.242802984636,0,2.9425660429695375,1.1779609284168568,0.5564844070946648
Apartamento em Uvaranas,"Rua do Rosario, 1096 - Uvaranas",247542,62,2,1,1,Uvaranas,-25.08506246512281,-50.12833614239933,409.21307674264483,1,1742.2757968378626,0,550.0591198280146,0,2777.2705524272683,0,2.463814453463845,1.5383216226003704,0.542806892277709
Apartamento em Jardim Carvalho,"Rua Balduino Taques, 1010 - Jardim Carvalho",375926,117,3,2,2,Jardim Carvalho,-25.07101376006217,-50.15600655744135,563.9232123595735,0,1559.5322238665015,0,226.41055955969938,1,764.485699222812,0,1.5061982792347544,3.5636263770048267,0.6025794411331922
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2235 - Chapada",118697,69,2,1,1,Chapada,-25.037700535117057,-50.16544897378313,845.7292282419414,0,2341.6312576987766,0,1879.5995426510535,0,2098.6067025236366,0,1.057385105733641,0.5051526727778555,0.40956225345120056
Apartamento em Contorno,"Rua Comendador Miró, 2176 - Contorno",143928,42,1,1,0,Contorno,-25.117504511205645,-50.19824596384075,736.5236078751146,0,1728.05542763302,0,906.7924851971422,0,4582.701061014219,0,1.1954235249141838,0.993253341381653,0.5470293651297038
Apartamento em Centro,"Rua do Rosario, 1236 - Centro",683176,106,3,2,2,Centro,-25.088089569787822,-50.16561378364717,547.6081290065208,0,407.0765420494355,1,456.48184168243944,1,298.58093581242144,2,1.544143680738033,2.297003828510648,2.4720888605068003
Apartamento em Nova Russia,"Av. Vicente Machado, 1093 - Nova Russia",303134,96,3,2,1,Nova Russia,-25.08378988844181,-50.18094805621298,408.4179358310269,2,524.5782940603036,0,408.59104296353405,1,1536.0655775024754,0,2.9668857637082864,2.46621630253858,1.6010802961132828
Apartamento em Nova Russia,"Rua Comendador Miró, 2276 - Nova Russia",99058,43,1,1,0,Nova Russia,-25.081500929811845,-50.18195333624326,524.11766208928,0,755.0019078376407,0,528.8850911627154,0,1572.6727087194529,0,1.6022619783782854,1.5901156094369293,1.1695880334689188
Apartamento em Jardim Carvalho,"Rua do Rosario, 872 - Jardim Carvalho",234606,64,2,1,1,Jardim Carvalho,-25.07268260634632,-50.15131716816403,550.9036644190329,0,1974.6443809991922,0,162.39505529228467,1,726.4242155154723,0,1.536325657180859,4.311047425745463,0.4820103190496575
Apartamento em Neves,"Rua Comendador Miró, 1091 - Neves",146299,60,2,1,1,Neves,-25.049993585398436,-50.14361065348813,344.89105300062096,3,1015.2998322286948,0,1144.0434121698277,0,1384.8474782759351,0,3.747741313868598,0.803830469433399,0.8966198784426497
Apartamento em Jardim Sabara,"Rua Balduino Taques, 388 - Jardim Sabara",187773,69,2,1,1,Jardim Sabara,-25.04780849353341,-50.17869529455768,734.7842011802353,0,1960.6174112024887,0,1148.9278809591212,0,2377.1305856126814,0,1.1979143814487374,0.8006867452042502,0.4852914444784986
Apartamento em Vila Estrela,"Rua Paula Xavier, 545 - Vila Estrela",808139,161,6,3,2,Vila Estrela,-25.114329303185773,-50.15234829767526,342.1130924919378,2,1350.852522397099,0,235.5927996230427,2,2341.2793061087955,0,3.261864706072317,3.979801715421958,0.6892499303428854
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 2269 - Boa Vista",281457,123,4,3,2,Boa Vista,-25.060507520022195,-50.161092449625485,285.93547423240256,1,306.64454281637785,1,536.016823897806,0,805.3113311609492,0,3.091106718004938,1.5722854528777026,2.9591501783697964
Apartamento em Vila Estrela,"Rua Balduino Taques, 318 - Vila Estrela",374125,63,2,1,1,Vila Estrela,-25.1074801205631,-50.15483725874809,416.11270785497476,1,780.0592229404414,0,186.34288355282675,1,1556.0465179573098,0,2.4375612822170525,3.9923165807105256,1.1362871656055307
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 2395 - Jardim Carvalho",369909,109,3,2,2,Jardim Carvalho,-25.07585083694527,-50.149110164704815,351.91257614021345,1,1950.7574297969202,0,268.32173217146385,4,699.4778392608799,0,2.7128173739730874,4.715017639889011,0.487624711470155
Apartamento em Olarias,"Av. Vicente Machado, 181 - Olarias",155522,67,3,1,1,Olarias,-25.09826676565992,-50.138039065061385,83.42498697323755,1,1111.2543475567975,0,854.7870448487425,0,1872.7625592062893,0,5.951819931958911,1.047353967981855,0.8255904319493957
Apartamento em Contorno,"Rua Balduino Taques, 1475 - Contorno",152565,53,2,1,1,Contorno,-25.120688171559383,-50.19787837128139,830.4119331750817,0,2082.9588616831593,0,1133.3022569696352,0,4796.903018812146,0,1.0747927496882432,0.8108312413674766,0.4580938365595012
Apartamento em Orfãs,"Rua Comendador Miró, 431 - Orfãs",111434,42,1,1,0,Orfãs,-25.074000183149643,-50.17340558247253,277.49905552717536,1,1369.1615840519355,0,550.7280718091558,0,907.7599251901705,0,3.1490132501219255,1.5367402196432027,0.6806603241299083
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2552 - Chapada",149995,70,2,2,1,Chapada,-25.038782515787968,-50.17040430193909,670.5156643601804,0,2322.733846262224,0,1910.4892699585125,0,2264.6908596365856,0,1.2978321483319595,0.4973913638547474,0.4127568538090937
Apartamento em Jardim Carvalho,"Av. Vicente Machado, 675 - Jardim Carvalho",287341,54,2,1,1,Jardim Carvalho,-25.07329915977092,-50.15666517192975,306.11130124795574,1,1760.70679844031,0,412.3451379668971,1,519.1751856499529,0,2.962379148098218,2.4518092900583177,0.5374301855822876
Apartamento em Estrela,"Rua Balduino Taques, 744 - Estrela",271815,74,2,2,1,Estrela,-25.10371268118208,-50.15360571732916,273.1844311001138,1,589.787414304153,0,568.4963483751919,0,1156.5132018124023,0,3.1796401903801046,1.4958944838375579,1.4497220147293999
Apartamento em Neves,"Av. Carlos Cavalcanti, 2753 - Neves",102196,57,2,1,1,Neves,-25.05227436439855,-50.14481942594127,267.16918581462556,1,980.1741174421911,0,1232.551246854076,0,1191.7397120217836,0,3.223540097138965,0.7504401818397812,0.9257766723460842
