titulo,endereco,preco,area,quartos,banheiros,vagas,bairro,latitude,longitude
Apartamento em Jardim Sabara,"Av. Vicente Machado, 1541 - Jardim Sabara",215006,87,2,2,1,Jardim Sabara,-25.045102564687785,-50.1777575797528
Apartamento em Estrela,"Rua do Rosario, 12 - Estrela",74821,85,2,2,1,Estrela,-25.107689870332315,-50.1507128033995
Apartamento em Neves,"Rua Balduino Taques, 1496 - Neves",125912,49,1,1,0,Neves,-25.053067301137816,-50.14199089956852
Apartamento em Contorno,"Av. Vicente Machado, 2333 - Contorno",77202,30,1,1,0,Contorno,-25.12235320453931,-50.195795159803176
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 293 - Uvaranas",139455,60,3,1,1,Uvaranas,-25.08323291953581,-50.13299219143911
Apartamento em Olarias,"Av. Vicente Machado, 2712 - Olarias",169386,46,1,1,0,Olarias,-25.105006454074548,-50.13861358198502
Apartamento em Santa Paula,"Av. Vicente Machado, 1095 - Santa Paula",85247,46,1,1,0,Santa Paula,-25.127310240155857,-50.17590242718179
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 877 - Jardim Sabara",193939,60,2,1,1,Jardim Sabara,-25.04257555244444,-50.177749858906395
Apartamento em Olarias,"Rua Comendador Miró, 833 - Olarias",130800,63,2,1,1,Olarias,-25.098195773609365,-50.13842041138442
Apartamento em Contorno,"Rua Comendador Miró, 2671 - Contorno",188169,73,2,2,1,Contorno,-25.118479467344187,-50.198635399346166
Apartamento em Chapada,"Rua do Rosario, 1859 - Chapada",94979,49,1,1,0,Chapada,-25.040081744791586,-50.170123130069015
Apartamento em Nova Russia,"Rua Balduino Taques, 1394 - Nova Russia",76520,35,1,1,0,Nova Russia,-25.081490552623805,-50.17823587783276
Apartamento em Centro,"Av. Vicente Machado, 2420 - Centro",538973,99,3,2,1,Centro,-25.090398845186442,-50.16730974206733
Apartamento em Ronda,"Rua Comendador Miró, 2594 - Ronda",125204,50,3,1,1,Ronda,-25.102099364049902,-50.17858872941255
Apartamento em Oficinas,"Rua Balduino Taques, 1363 - Oficinas",120908,58,2,1,1,Oficinas,-25.11720459103434,-50.14104573894561
Apartamento em Uvaranas,"Rua Paula Xavier, 2750 - Uvaranas",93484,42,1,1,0,Uvaranas,-25.087005378681038,-50.13147831976671
Apartamento em Santa Paula,"Av. Vicente Machado, 2972 - Santa Paula",144629,61,2,1,1,Santa Paula,-25.12570946003366,-50.18100440363589
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 1677 - Santa Paula",228510,57,2,1,1,Santa Paula,-25.126110112365183,-50.18055205184105
Apartamento em Orfãs,"Rua Comendador Miró, 1775 - Orfãs",244240,65,3,1,1,Orfãs,-25.066019791421457,-50.173840933716825
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2996 - Chapada",52109,54,2,1,1,Chapada,-25.040636214055773,-50.17245795564209
Apartamento em Oficinas,"Rua Comendador Miró, 413 - Oficinas",494871,139,3,3,2,Oficinas,-25.11530875793895,-50.14325512430238
Apartamento em Oficinas,"Rua Paula Xavier, 457 - Oficinas",241457,73,2,2,1,Oficinas,-25.106307885987153,-50.142739375450745
Apartamento em Ronda,"Rua do Rosario, 1847 - Ronda",93944,38,2,1,0,Ronda,-25.09819794649079,-50.1847018515275
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 1904 - Jardim Carvalho",812422,121,3,3,2,Jardim Carvalho,-25.07193587400335,-50.15622128224727
Apartamento em Ronda,"Rua Balduino Taques, 1825 - Ronda",128445,41,1,1,0,Ronda,-25.105609878068464,-50.18726392455557
Apartamento em Olarias,"Rua Comendador Miró, 2224 - Olarias",126778,35,2,1,0,Olarias,-25.10322706052887,-50.14082101924212
Apartamento em Centro,"Av. Carlos Cavalcanti, 1999 - Centro",1270141,216,4,4,3,Centro,-25.092425326950288,-50.16740940083827
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 250 - Santa Paula",78548,46,1,1,0,Santa Paula,-25.12611541660946,-50.17894858767277
Apartamento em Estrela,"Av. Carlos Cavalcanti, 1096 - Estrela",205180,57,2,1,1,Estrela,-25.107082973914505,-50.15003362082173
Apartamento em Santo Antonio,"Rua Comendador Miró, 2286 - Santo Antonio",69270,55,2,1,1,Santo Antonio,-25.056049705808988,-50.12350178556327
Apartamento em Santa Paula,"Rua Paula Xavier, 901 - Santa Paula",102309,62,3,1,1,Santa Paula,-25.12848837111712,-50.1808597329539
Apartamento em Oficinas,"Rua do Rosario, 259 - Oficinas",273541,106,3,2,2,Oficinas,-25.109910752579413,-50.14663440117121
Apartamento em Neves,"Rua do Rosario, 1962 - Neves",91796,49,2,1,0,Neves,-25.04905927007611,-50.138211109804715
Apartamento em Jardim Sabara,"Rua do Rosario, 654 - Jardim Sabara",116580,37,1,1,0,Jardim Sabara,-25.045697868193002,-50.17699261148274
Apartamento em Oficinas,"Rua Balduino Taques, 771 - Oficinas",365291,98,3,2,1,Oficinas,-25.11476775027942,-50.14419366406041
Apartamento em Uvaranas,"Rua Comendador Miró, 973 - Uvaranas",69198,57,2,1,1,Uvaranas,-25.082289878982465,-50.12936732764306
Apartamento em Jardim America,"Rua do Rosario, 1018 - Jardim America",186845,69,3,1,1,Jardim America,-25.108217004365137,-50.14094686392415
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 2702 - Oficinas",99574,44,1,1,0,Oficinas,-25.111461777771574,-50.14845156914598
Apartamento em Jardim Sabara,"Rua Paula Xavier, 846 - Jardim Sabara",172135,59,2,1,1,Jardim Sabara,-25.043795415280094,-50.17853810663242
Apartamento em Neves,"Av. Carlos Cavalcanti, 546 - Neves",162023,60,2,1,1,Neves,-25.051183935050037,-50.14379145211136
Apartamento em Contorno,"Rua Balduino Taques, 48 - Contorno",113446,58,2,1,1,Contorno,-25.12025829909286,-50.19892676547089
Apartamento em Santo Antonio,"Rua do Rosario, 419 - Santo Antonio",120316,44,1,1,0,Santo Antonio,-25.06315778431455,-50.12112454526728
Apartamento em Uvaranas,"Rua do Rosario, 1096 - Uvaranas",247542,62,2,1,1,Uvaranas,-25.085062465122814,-50.128336142399334
Apartamento em Jardim Carvalho,"Rua Balduino Taques, 1010 - Jardim Carvalho",375926,117,3,2,2,Jardim Carvalho,-25.071013760062172,-50.15600655744135
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2235 - Chapada",118697,69,2,1,1,Chapada,-25.037700535117057,-50.16544897378313
Apartamento em Contorno,"Rua Comendador Miró, 2176 - Contorno",143928,42,1,1,0,Contorno,-25.117504511205645,-50.19824596384075
Apartamento em Centro,"Rua do Rosario, 1236 - Centro",683176,106,3,2,2,Centro,-25.088089569787822,-50.16561378364717
Apartamento em Nova Russia,"Av. Vicente Machado, 1093 - Nova Russia",303134,96,3,2,1,Nova Russia,-25.08378988844181,-50.18094805621298
Apartamento em Nova Russia,"Rua Comendador Miró, 2276 - Nova Russia",99058,43,1,1,0,Nova Russia,-25.081500929811845,-50.18195333624326
Apartamento em Jardim Carvalho,"Rua do Rosario, 872 - Jardim Carvalho",234606,64,2,1,1,Jardim Carvalho,-25.072682606346316,-50.15131716816403
Apartamento em Neves,"Rua Comendador Miró, 1091 - Neves",146299,60,2,1,1,Neves,-25.049993585398433,-50.14361065348813
Apartamento em Jardim Sabara,"Rua Balduino Taques, 388 - Jardim Sabara",187773,69,2,1,1,Jardim Sabara,-25.04780849353341,-50.178695294557684
Apartamento em Vila Estrela,"Rua Paula Xavier, 545 - Vila Estrela",808139,161,6,3,2,Vila Estrela,-25.114329303185773,-50.15234829767526
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 2269 - Boa Vista",281457,123,4,3,2,Boa Vista,-25.060507520022195,-50.161092449625485
Apartamento em Vila Estrela,"Rua Balduino Taques, 318 - Vila Estrela",374125,63,2,1,1,Vila Estrela,-25.1074801205631,-50.15483725874809
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 2395 - Jardim Carvalho",369909,109,3,2,2,Jardim Carvalho,-25.07585083694527,-50.149110164704815
Apartamento em Olarias,"Av. Vicente Machado, 181 - Olarias",155522,67,3,1,1,Olarias,-25.098266765659922,-50.138039065061385
Apartamento em Contorno,"Rua Balduino Taques, 1475 - Contorno",152565,53,2,1,1,Contorno,-25.120688171559383,-50.19787837128139
Apartamento em Orfãs,"Rua Comendador Miró, 431 - Orfãs",111434,42,1,1,0,Orfãs,-25.074000183149643,-50.17340558247253
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2552 - Chapada",149995,70,2,2,1,Chapada,-25.038782515787968,-50.170404301939094
Apartamento em Jardim Carvalho,"Av. Vicente Machado, 675 - Jardim Carvalho",287341,54,2,1,1,Jardim Carvalho,-25.073299159770922,-50.15666517192975
Apartamento em Estrela,"Rua Balduino Taques, 744 - Estrela",271815,74,2,2,1,Estrela,-25.103712681182078,-50.15360571732916
Apartamento em Neves,"Av. Carlos Cavalcanti, 2753 - Neves",102196,57,2,1,1,Neves,-25.05227436439855,-50.14481942594127
Apartamento em Ronda,"Rua Comendador Miró, 452 - Ronda",96769,38,1,1,0,Ronda,-25.10268726083787,-50.182422181291756
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 921 - Jardim America",178318,64,2,1,1,Jardim America,-25.117255873556296,-50.13708084713848
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 1442 - Orfãs",417057,91,3,2,1,Orfãs,-25.06691798909613,-50.169566228626856
Apartamento em Contorno,"Av. Vicente Machado, 923 - Contorno",57312,41,1,1,0,Contorno,-25.121325019657906,-50.20150060761982
Apartamento em Centro,"Av. Carlos Cavalcanti, 1354 - Centro",634980,110,3,2,2,Centro,-25.0924775465255,-50.16570717767741
Apartamento em Boa Vista,"Rua Paula Xavier, 1448 - Boa Vista",503782,173,4,3,2,Boa Vista,-25.060454836262807,-50.15853673779824
Apartamento em Jardim Sabara,"Rua do Rosario, 1366 - Jardim Sabara",224710,76,2,2,1,Jardim Sabara,-25.040506098987436,-50.17457949557532
Apartamento em Centro,"Rua Paula Xavier, 741 - Centro",745996,116,4,2,2,Centro,-25.093187392594103,-50.16054994355296
Apartamento em Boa Vista,"Rua do Rosario, 1789 - Boa Vista",152849,68,3,1,1,Boa Vista,-25.05883182830073,-50.15578946205543
Apartamento em Chapada,"Rua Paula Xavier, 1797 - Chapada",94086,50,2,1,1,Chapada,-25.041755551648812,-50.165917728822215
Apartamento em Jardim Sabara,"Rua do Rosario, 788 - Jardim Sabara",116144,55,3,1,1,Jardim Sabara,-25.04348386791557,-50.175906895039
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 16 - Boa Vista",134903,31,2,1,0,Boa Vista,-25.056692132345614,-50.16624737930116
Apartamento em Jardim Sabara,"Rua do Rosario, 2823 - Jardim Sabara",100617,33,1,1,0,Jardim Sabara,-25.0485021506007,-50.17600525357381
Apartamento em Orfãs,"Rua Balduino Taques, 2730 - Orfãs",278582,92,3,2,1,Orfãs,-25.072493544157307,-50.165652994289395
Apartamento em Neves,"Rua Comendador Miró, 520 - Neves",99505,39,1,1,0,Neves,-25.048379002199802,-50.13578431626169
Apartamento em Contorno,"Rua Comendador Miró, 1682 - Contorno",127231,66,2,1,1,Contorno,-25.123340922091202,-50.197879449291385
Apartamento em Neves,"Rua Paula Xavier, 2280 - Neves",111110,58,2,1,1,Neves,-25.05592541168497,-50.13953784887167
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 1562 - Jardim Carvalho",349716,69,3,1,1,Jardim Carvalho,-25.076315837329307,-50.15578584080272
Apartamento em Estrela,"Rua Paula Xavier, 1673 - Estrela",451515,80,2,2,1,Estrela,-25.109531721771774,-50.15739062642901
Apartamento em Olarias,"Rua Paula Xavier, 1185 - Olarias",50153,57,2,1,1,Olarias,-25.10141411719319,-50.14180623960559
Apartamento em Orfãs,"Rua do Rosario, 2494 - Orfãs",244086,86,2,2,1,Orfãs,-25.070563906950685,-50.17306921644833
Apartamento em Neves,"Av. Carlos Cavalcanti, 2777 - Neves",97031,52,2,1,1,Neves,-25.05348496746311,-50.13707486627863
Apartamento em Orfãs,"Rua Comendador Miró, 705 - Orfãs",344428,86,2,2,1,Orfãs,-25.073437588710416,-50.169249225826796
Apartamento em Uvaranas,"Rua Comendador Miró, 2602 - Uvaranas",75448,49,1,1,0,Uvaranas,-25.0831112564876,-50.13551796997415
Apartamento em Neves,"Av. Vicente Machado, 2765 - Neves",93281,44,2,1,0,Neves,-25.052863745065284,-50.13500490151184
Apartamento em Contorno,"Av. Vicente Machado, 613 - Contorno",238654,61,2,1,1,Contorno,-25.12160376210696,-50.19882277095711
Apartamento em Centro,"Av. Carlos Cavalcanti, 2513 - Centro",401018,129,4,3,2,Centro,-25.09555418638157,-50.169174192712724
Apartamento em Uvaranas,"Rua Comendador Miró, 2367 - Uvaranas",310631,74,2,2,1,Uvaranas,-25.08089214188724,-50.131935508697495
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 2034 - Orfãs",112895,57,2,1,1,Orfãs,-25.06646260887552,-50.16958658028766
Apartamento em Jardim America,"Rua Comendador Miró, 2826 - Jardim America",154595,44,1,1,0,Jardim America,-25.112410235118478,-50.13498875525648
Apartamento em Centro,"Rua Balduino Taques, 1751 - Centro",691218,122,3,3,2,Centro,-25.088493559453198,-50.164863492839956
Apartamento em Ronda,"Rua Comendador Miró, 2131 - Ronda",93198,53,3,1,1,Ronda,-25.099297747920357,-50.18072715065326
Apartamento em Santo Antonio,"Av. Vicente Machado, 507 - Santo Antonio",-3720,40,2,1,0,Santo Antonio,-25.059031952905105,-50.11744517170946
Apartamento em Santo Antonio,"Av. Carlos Cavalcanti, 2744 - Santo Antonio",85023,37,2,1,0,Santo Antonio,-25.061817377036352,-50.122043848644076
Apartamento em Jardim Sabara,"Rua do Rosario, 1309 - Jardim Sabara",133207,35,1,1,0,Jardim Sabara,-25.034730272810023,-50.17632037588899
Apartamento em Santo Antonio,"Rua Comendador Miró, 2077 - Santo Antonio",120286,56,2,1,1,Santo Antonio,-25.062951979292848,-50.118944529097114
Apartamento em Vila Estrela,"Rua do Rosario, 1836 - Vila Estrela",358095,50,2,1,1,Vila Estrela,-25.113454425434078,-50.14480309715244
Apartamento em Estrela,"Av. Carlos Cavalcanti, 1853 - Estrela",307768,66,2,1,1,Estrela,-25.102538757427382,-50.1561233399859
Apartamento em Boa Vista,"Rua Comendador Miró, 1145 - Boa Vista",106317,62,2,1,1,Boa Vista,-25.057879139189303,-50.16339762430833
Apartamento em Jardim Sabara,"Av. Vicente Machado, 1134 - Jardim Sabara",119666,45,1,1,0,Jardim Sabara,-25.04972934084909,-50.17387582897489
Apartamento em Santo Antonio,"Rua Paula Xavier, 970 - Santo Antonio",122680,48,2,1,0,Santo Antonio,-25.055132891991594,-50.117810908841975
Apartamento em Boa Vista,"Rua do Rosario, 340 - Boa Vista",170993,66,2,1,1,Boa Vista,-25.057701751444576,-50.164966868705505
Apartamento em Jardim Carvalho,"Av. Carlos Cavalcanti, 2852 - Jardim Carvalho",398467,54,3,1,1,Jardim Carvalho,-25.078581399459566,-50.15439450797794
Apartamento em Jardim Carvalho,"Rua Balduino Taques, 1709 - Jardim Carvalho",336181,41,1,1,0,Jardim Carvalho,-25.07179570420645,-50.16029530940039
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 1713 - Vila Estrela",539272,113,3,2,2,Vila Estrela,-25.10822369840571,-50.15193614580631
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 1605 - Oficinas",207954,55,2,1,1,Oficinas,-25.116055618846527,-50.147706467007794
Apartamento em Centro,"Rua do Rosario, 1568 - Centro",342210,73,2,2,1,Centro,-25.094235964807563,-50.168657572189915
Apartamento em Santa Paula,"Rua Paula Xavier, 1233 - Santa Paula",141995,70,3,2,1,Santa Paula,-25.124706106170667,-50.18007821536065
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 2214 - Jardim America",122566,44,1,1,0,Jardim America,-25.112994582883378,-50.13392756176314
Apartamento em Olarias,"Av. Vicente Machado, 2009 - Olarias",189961,59,2,1,1,Olarias,-25.10065701462879,-50.13725047311622
Apartamento em Ronda,"Av. Carlos Cavalcanti, 128 - Ronda",204768,65,2,1,1,Ronda,-25.104328434464716,-50.18928371911216
Apartamento em Jardim America,"Rua Comendador Miró, 1666 - Jardim America",84492,46,1,1,0,Jardim America,-25.107575828973264,-50.135392507268435
Apartamento em Estrela,"Av. Vicente Machado, 2558 - Estrela",339783,80,2,2,1,Estrela,-25.102475238848303,-50.157650871399206
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2434 - Olarias",139063,56,3,1,1,Olarias,-25.10086319272667,-50.13693604671593
Apartamento em Centro,"Av. Carlos Cavalcanti, 565 - Centro",491071,71,3,2,1,Centro,-25.09010972329884,-50.169029046456
Apartamento em Santo Antonio,"Rua Paula Xavier, 1562 - Santo Antonio",149821,51,3,1,1,Santo Antonio,-25.063268293690893,-50.12182995077376
Apartamento em Neves,"Rua Paula Xavier, 1392 - Neves",174439,75,2,2,1,Neves,-25.04564452740142,-50.143587820086935
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 1043 - Jardim America",218062,69,2,1,1,Jardim America,-25.104503754044483,-50.13339070231119
Apartamento em Uvaranas,"Rua Comendador Miró, 2219 - Uvaranas",191396,54,2,1,1,Uvaranas,-25.085346303964872,-50.13397035496025
Apartamento em Oficinas,"Rua Paula Xavier, 928 - Oficinas",250917,60,2,1,1,Oficinas,-25.116186137603414,-50.14645965676556
Apartamento em Uvaranas,"Rua Comendador Miró, 174 - Uvaranas",143485,52,2,1,1,Uvaranas,-25.083918021712908,-50.12459907023172
Apartamento em Centro,"Av. Vicente Machado, 93 - Centro",586586,114,3,2,2,Centro,-25.088713219529563,-50.165576851408254
Apartamento em Jardim Carvalho,"Rua do Rosario, 902 - Jardim Carvalho",780942,207,5,6,3,Jardim Carvalho,-25.069346812578033,-50.15611148187105
Apartamento em Santo Antonio,"Rua Paula Xavier, 697 - Santo Antonio",62721,37,1,1,0,Santo Antonio,-25.060850858880286,-50.115164946769866
Apartamento em Nova Russia,"Av. Vicente Machado, 1284 - Nova Russia",236427,69,2,1,1,Nova Russia,-25.082168972305325,-50.18067670452734
Apartamento em Nova Russia,"Rua Paula Xavier, 2368 - Nova Russia",194954,65,2,1,1,Nova Russia,-25.079497925349944,-50.18221211136195
Apartamento em Jardim America,"Rua Comendador Miró, 822 - Jardim America",102098,41,1,1,0,Jardim America,-25.10962406986401,-50.13011270904366
Apartamento em Uvaranas,"Rua Comendador Miró, 1004 - Uvaranas",112668,44,1,1,0,Uvaranas,-25.084488935466222,-50.130767713234675
Apartamento em Nova Russia,"Rua Paula Xavier, 2812 - Nova Russia",170564,52,2,1,1,Nova Russia,-25.085079240262765,-50.18026928993643
Apartamento em Nova Russia,"Rua do Rosario, 178 - Nova Russia",90140,49,1,1,0,Nova Russia,-25.080138703961286,-50.17723418889982
Apartamento em Chapada,"Rua Comendador Miró, 1527 - Chapada",130195,46,1,1,0,Chapada,-25.039010088188455,-50.16959176550375
Apartamento em Uvaranas,"Rua Paula Xavier, 61 - Uvaranas",106848,58,2,1,1,Uvaranas,-25.08297115938994,-50.1250772465021
Apartamento em Vila Estrela,"Rua Balduino Taques, 1785 - Vila Estrela",391823,73,2,2,1,Vila Estrela,-25.114409023049312,-50.144990761601385
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2907 - Chapada",123143,58,2,1,1,Chapada,-25.037838011595404,-50.170373533268744
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 2147 - Jardim Carvalho",144221,51,2,1,1,Jardim Carvalho,-25.078190432560973,-50.153981103006934
Apartamento em Boa Vista,"Rua do Rosario, 1990 - Boa Vista",98187,51,2,1,1,Boa Vista,-25.06283800796306,-50.150851533232014
Apartamento em Santo Antonio,"Rua Comendador Miró, 2436 - Santo Antonio",230892,84,2,2,1,Santo Antonio,-25.058180327594314,-50.11727729377237
Apartamento em Boa Vista,"Av. Vicente Machado, 364 - Boa Vista",165678,52,2,1,1,Boa Vista,-25.057681831923528,-50.157596598528535
Apartamento em Boa Vista,"Av. Vicente Machado, 1913 - Boa Vista",99391,40,1,1,0,Boa Vista,-25.056559606717073,-50.157689102203825
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 1341 - Jardim America",124259,50,2,1,1,Jardim America,-25.105054243893193,-50.13136435790097
Apartamento em Estrela,"Rua Paula Xavier, 1068 - Estrela",198781,52,2,1,1,Estrela,-25.103179437699,-50.15437575777644
Apartamento em Neves,"Rua do Rosario, 2882 - Neves",250731,86,2,2,1,Neves,-25.051550423939002,-50.142549808556325
Apartamento em Boa Vista,"Rua do Rosario, 792 - Boa Vista",147192,61,2,1,1,Boa Vista,-25.060996746638462,-50.158148368671974
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 2011 - Uvaranas",146501,48,1,1,0,Uvaranas,-25.084588773333568,-50.1264302654158
Apartamento em Olarias,"Rua Comendador Miró, 1960 - Olarias",144680,54,2,1,1,Olarias,-25.099189321202307,-50.139333291709136
Apartamento em Santa Paula,"Rua Balduino Taques, 391 - Santa Paula",110860,43,1,1,0,Santa Paula,-25.13155990056112,-50.18037418708614
Apartamento em Contorno,"Rua Comendador Miró, 1006 - Contorno",158735,63,2,1,1,Contorno,-25.1233584728075,-50.20035339662407
Apartamento em Contorno,"Rua Paula Xavier, 1948 - Contorno",263585,72,2,2,1,Contorno,-25.12075964917489,-50.19755085658581
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2264 - Olarias",181569,43,1,1,0,Olarias,-25.10182052191625,-50.14393136703618
Apartamento em Neves,"Av. Carlos Cavalcanti, 1119 - Neves",182277,57,2,1,1,Neves,-25.05205813487676,-50.14070403760149
Apartamento em Contorno,"Rua Balduino Taques, 2964 - Contorno",178577,42,1,1,0,Contorno,-25.12120130295402,-50.2011364411026
Apartamento em Orfãs,"Rua Comendador Miró, 2204 - Orfãs",146315,55,2,1,1,Orfãs,-25.06936692725347,-50.16905896220223
Apartamento em Estrela,"Rua Comendador Miró, 1993 - Estrela",77061,56,3,1,1,Estrela,-25.107457099763433,-50.15472135477377
Apartamento em Boa Vista,"Rua do Rosario, 2454 - Boa Vista",107883,57,2,1,1,Boa Vista,-25.05933343770469,-50.16039275632507
Apartamento em Contorno,"Av. Vicente Machado, 1223 - Contorno",263473,95,3,2,1,Contorno,-25.119222183950015,-50.199976122199594
Apartamento em Ronda,"Rua Paula Xavier, 67 - Ronda",146715,45,1,1,0,Ronda,-25.10159378369034,-50.182619920406495
Apartamento em Olarias,"Rua Balduino Taques, 233 - Olarias",112219,63,3,1,1,Olarias,-25.093371913290405,-50.13639536538436
