titulo,endereco,preco,area,quartos,banheiros,vagas,bairro
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 250 - Santa Paula",78548,46,1,1,0,Santa Paula
Apartamento em Estrela,"Av. Carlos Cavalcanti, 1096 - Estrela",205180,57,2,1,1,Estrela
Apartamento em Santo Antonio,"Rua Comendador Miró, 2286 - Santo Antonio",69270,55,2,1,1,Santo Antonio
Apartamento em Santa Paula,"Rua Paula Xavier, 901 - Santa Paula",102309,62,3,1,1,Santa Paula
Apartamento em Oficinas,"Rua do Rosario, 259 - Oficinas",273541,106,3,2,2,Oficinas
Apartamento em Neves,"Rua do Rosario, 1962 - Neves",91796,49,2,1,0,Neves
Apartamento em Jardim Sabara,"Rua do Rosario, 654 - Jardim Sabara",116580,37,1,1,0,Jardim Sabara
Apartamento em Oficinas,"Rua Balduino Taques, 771 - Oficinas",365291,98,3,2,1,Oficinas
Apartamento em Uvaranas,"Rua Comendador Miró, 973 - Uvaranas",69198,57,2,1,1,Uvaranas
Apartamento em Jardim America,"Rua do Rosario, 1018 - Jardim America",186845,69,3,1,1,Jardim America
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 2702 - Oficinas",99574,44,1,1,0,Oficinas
Apartamento em Jardim Sabara,"Rua Paula Xavier, 846 - Jardim Sabara",172135,59,2,1,1,Jardim Sabara
Apartamento em Neves,"Av. Carlos Cavalcanti, 546 - Neves",162023,60,2,1,1,Neves
Apartamento em Contorno,"Rua Balduino Taques, 48 - Contorno",113446,58,2,1,1,Contorno
Apartamento em Santo Antonio,"Rua do Rosario, 419 - Santo Antonio",120316,44,1,1,0,Santo Antonio
Apartamento em Uvaranas,"Rua do Rosario, 1096 - Uvaranas",247542,62,2,1,1,Uvaranas
Apartamento em Jardim Carvalho,"Rua Balduino Taques, 1010 - Jardim Carvalho",375926,117,3,2,2,Jardim Carvalho
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2235 - Chapada",118697,69,2,1,1,Chapada
Apartamento em Contorno,"Rua Comendador Miró, 2176 - Contorno",143928,42,1,1,0,Contorno
Apartamento em Centro,"Rua do Rosario, 1236 - Centro",683176,106,3,2,2,Centro
Apartamento em Nova Russia,"Av. Vicente Machado, 1093 - Nova Russia",303134,96,3,2,1,Nova Russia
Apartamento em Nova Russia,"Rua Comendador Miró, 2276 - Nova Russia",99058,43,1,1,0,Nova Russia
Apartamento em Jardim Carvalho,"Rua do Rosario, 872 - Jardim Carvalho",234606,64,2,1,1,Jardim Carvalho
Apartamento em Neves,"Rua Comendador Miró, 1091 - Neves",146299,60,2,1,1,Neves
Apartamento em Jardim Sabara,"Rua Balduino Taques, 388 - Jardim Sabara",187773,69,2,1,1,Jardim Sabara
Apartamento em Vila Estrela,"Rua Paula Xavier, 545 - Vila Estrela",808139,161,6,3,2,Vila Estrela
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 2269 - Boa Vista",281457,123,4,3,2,Boa Vista
Apartamento em Vila Estrela,"Rua Balduino Taques, 318 - Vila Estrela",374125,63,2,1,1,Vila Estrela
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 2395 - Jardim Carvalho",369909,109,3,2,2,Jardim Carvalho
Apartamento em Olarias,"Av. Vicente Machado, 181 - Olarias",155522,67,3,1,1,Olarias
Apartamento em Contorno,"Rua Balduino Taques, 1475 - Contorno",152565,53,2,1,1,Contorno
Apartamento em Orfãs,"Rua Comendador Miró, 431 - Orfãs",111434,42,1,1,0,Orfãs
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2552 - Chapada",149995,70,2,2,1,Chapada
Apartamento em Jardim Carvalho,"Av. Vicente Machado, 675 - Jardim Carvalho",287341,54,2,1,1,Jardim Carvalho
Apartamento em Estrela,"Rua Balduino Taques, 744 - Estrela",271815,74,2,2,1,Estrela
Apartamento em Neves,"Av. Carlos Cavalcanti, 2753 - Neves",102196,57,2,1,1,Neves
Apartamento em Ronda,"Rua Comendador Miró, 452 - Ronda",96769,38,1,1,0,Ronda
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 921 - Jardim America",178318,64,2,1,1,Jardim America
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 1442 - Orfãs",417057,91,3,2,1,Orfãs
Apartamento em Contorno,"Av. Vicente Machado, 923 - Contorno",57312,41,1,1,0,Contorno
Apartamento em Centro,"Av. Carlos Cavalcanti, 1354 - Centro",634980,110,3,2,2,Centro
Apartamento em Boa Vista,"Rua Paula Xavier, 1448 - Boa Vista",503782,173,4,3,2,Boa Vista
Apartamento em Jardim Sabara,"Rua do Rosario, 1366 - Jardim Sabara",224710,76,2,2,1,Jardim Sabara
Apartamento em Centro,"Rua Paula Xavier, 741 - Centro",745996,116,4,2,2,Centro
Apartamento em Boa Vista,"Rua do Rosario, 1789 - Boa Vista",152849,68,3,1,1,Boa Vista
Apartamento em Chapada,"Rua Paula Xavier, 1797 - Chapada",94086,50,2,1,1,Chapada
Apartamento em Jardim Sabara,"Rua do Rosario, 788 - Jardim Sabara",116144,55,3,1,1,Jardim Sabara
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 16 - Boa Vista",134903,31,2,1,0,Boa Vista
Apartamento em Jardim Sabara,"Rua do Rosario, 2823 - Jardim Sabara",100617,33,1,1,0,Jardim Sabara
Apartamento em Orfãs,"Rua Balduino Taques, 2730 - Orfãs",278582,92,3,2,1,Orfãs
Apartamento em Neves,"Rua Comendador Miró, 520 - Neves",99505,39,1,1,0,Neves
Apartamento em Contorno,"Rua Comendador Miró, 1682 - Contorno",127231,66,2,1,1,Contorno
Apartamento em Neves,"Rua Paula Xavier, 2280 - Neves",111110,58,2,1,1,Neves
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 1562 - Jardim Carvalho",349716,69,3,1,1,Jardim Carvalho
Apartamento em Estrela,"Rua Paula Xavier, 1673 - Estrela",451515,80,2,2,1,Estrela
Apartamento em Olarias,"Rua Paula Xavier, 1185 - Olarias",50153,57,2,1,1,Olarias
Apartamento em Orfãs,"Rua do Rosario, 2494 - Orfãs",244086,86,2,2,1,Orfãs
Apartamento em Neves,"Av. Carlos Cavalcanti, 2777 - Neves",97031,52,2,1,1,Neves
Apartamento em Orfãs,"Rua Comendador Miró, 705 - Orfãs",344428,86,2,2,1,Orfãs
Apartamento em Uvaranas,"Rua Comendador Miró, 2602 - Uvaranas",75448,49,1,1,0,Uvaranas
Apartamento em Neves,"Av. Vicente Machado, 2765 - Neves",93281,44,2,1,0,Neves
Apartamento em Contorno,"Av. Vicente Machado, 613 - Contorno",238654,61,2,1,1,Contorno
Apartamento em Centro,"Av. Carlos Cavalcanti, 2513 - Centro",401018,129,4,3,2,Centro
Apartamento em Uvaranas,"Rua Comendador Miró, 2367 - Uvaranas",310631,74,2,2,1,Uvaranas
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 2034 - Orfãs",112895,57,2,1,1,Orfãs
Apartamento em Jardim America,"Rua Comendador Miró, 2826 - Jardim America",154595,44,1,1,0,Jardim America
Apartamento em Centro,"Rua Balduino Taques, 1751 - Centro",691218,122,3,3,2,Centro
Apartamento em Ronda,"Rua Comendador Miró, 2131 - Ronda",93198,53,3,1,1,Ronda
Apartamento em Santo Antonio,"Av. Vicente Machado, 507 - Santo Antonio",-3720,40,2,1,0,Santo Antonio
Apartamento em Santo Antonio,"Av. Carlos Cavalcanti, 2744 - Santo Antonio",85023,37,2,1,0,Santo Antonio
Apartamento em Jardim Sabara,"Rua do Rosario, 1309 - Jardim Sabara",133207,35,1,1,0,Jardim Sabara
Apartamento em Santo Antonio,"Rua Comendador Miró, 2077 - Santo Antonio",120286,56,2,1,1,Santo Antonio
Apartamento em Vila Estrela,"Rua do Rosario, 1836 - Vila Estrela",358095,50,2,1,1,Vila Estrela
Apartamento em Estrela,"Av. Carlos Cavalcanti, 1853 - Estrela",307768,66,2,1,1,Estrela
Apartamento em Boa Vista,"Rua Comendador Miró, 1145 - Boa Vista",106317,62,2,1,1,Boa Vista
Apartamento em Jardim Sabara,"Av. Vicente Machado, 1134 - Jardim Sabara",119666,45,1,1,0,Jardim Sabara
Apartamento em Santo Antonio,"Rua Paula Xavier, 970 - Santo Antonio",122680,48,2,1,0,Santo Antonio
Apartamento em Boa Vista,"Rua do Rosario, 340 - Boa Vista",170993,66,2,1,1,Boa Vista
Apartamento em Jardim Carvalho,"Av. Carlos Cavalcanti, 2852 - Jardim Carvalho",398467,54,3,1,1,Jardim Carvalho
Apartamento em Jardim Carvalho,"Rua Balduino Taques, 1709 - Jardim Carvalho",336181,41,1,1,0,Jardim Carvalho
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 1713 - Vila Estrela",539272,113,3,2,2,Vila Estrela
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 1605 - Oficinas",207954,55,2,1,1,Oficinas
Apartamento em Centro,"Rua do Rosario, 1568 - Centro",342210,73,2,2,1,Centro
Apartamento em Santa Paula,"Rua Paula Xavier, 1233 - Santa Paula",141995,70,3,2,1,Santa Paula
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 2214 - Jardim America",122566,44,1,1,0,Jardim America
Apartamento em Olarias,"Av. Vicente Machado, 2009 - Olarias",189961,59,2,1,1,Olarias
Apartamento em Ronda,"Av. Carlos Cavalcanti, 128 - Ronda",204768,65,2,1,1,Ronda
Apartamento em Jardim America,"Rua Comendador Miró, 1666 - Jardim America",84492,46,1,1,0,Jardim America
Apartamento em Estrela,"Av. Vicente Machado, 2558 - Estrela",339783,80,2,2,1,Estrela
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2434 - Olarias",139063,56,3,1,1,Olarias
Apartamento em Centro,"Av. Carlos Cavalcanti, 565 - Centro",491071,71,3,2,1,Centro
Apartamento em Santo Antonio,"Rua Paula Xavier, 1562 - Santo Antonio",149821,51,3,1,1,Santo Antonio
Apartamento em Neves,"Rua Paula Xavier, 1392 - Neves",174439,75,2,2,1,Neves
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 1043 - Jardim America",218062,69,2,1,1,Jardim America
Apartamento em Uvaranas,"Rua Comendador Miró, 2219 - Uvaranas",191396,54,2,1,1,Uvaranas
Apartamento em Oficinas,"Rua Paula Xavier, 928 - Oficinas",250917,60,2,1,1,Oficinas
Apartamento em Uvaranas,"Rua Comendador Miró, 174 - Uvaranas",143485,52,2,1,1,Uvaranas
Apartamento em Centro,"Av. Vicente Machado, 93 - Centro",586586,114,3,2,2,Centro
Apartamento em Jardim Carvalho,"Rua do Rosario, 902 - Jardim Carvalho",780942,207,5,6,3,Jardim Carvalho
Apartamento em Santo Antonio,"Rua Paula Xavier, 697 - Santo Antonio",62721,37,1,1,0,Santo Antonio
Apartamento em Nova Russia,"Av. Vicente Machado, 1284 - Nova Russia",236427,69,2,1,1,Nova Russia
Apartamento em Nova Russia,"Rua Paula Xavier, 2368 - Nova Russia",194954,65,2,1,1,Nova Russia
Apartamento em Jardim America,"Rua Comendador Miró, 822 - Jardim America",102098,41,1,1,0,Jardim America
Apartamento em Uvaranas,"Rua Comendador Miró, 1004 - Uvaranas",112668,44,1,1,0,Uvaranas
Apartamento em Nova Russia,"Rua Paula Xavier, 2812 - Nova Russia",170564,52,2,1,1,Nova Russia
Apartamento em Nova Russia,"Rua do Rosario, 178 - Nova Russia",90140,49,1,1,0,Nova Russia
Apartamento em Chapada,"Rua Comendador Miró, 1527 - Chapada",130195,46,1,1,0,Chapada
Apartamento em Uvaranas,"Rua Paula Xavier, 61 - Uvaranas",106848,58,2,1,1,Uvaranas
Apartamento em Vila Estrela,"Rua Balduino Taques, 1785 - Vila Estrela",391823,73,2,2,1,Vila Estrela
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2907 - Chapada",123143,58,2,1,1,Chapada
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 2147 - Jardim Carvalho",144221,51,2,1,1,Jardim Carvalho
Apartamento em Boa Vista,"Rua do Rosario, 1990 - Boa Vista",98187,51,2,1,1,Boa Vista
Apartamento em Santo Antonio,"Rua Comendador Miró, 2436 - Santo Antonio",230892,84,2,2,1,Santo Antonio
Apartamento em Boa Vista,"Av. Vicente Machado, 364 - Boa Vista",165678,52,2,1,1,Boa Vista
Apartamento em Boa Vista,"Av. Vicente Machado, 1913 - Boa Vista",99391,40,1,1,0,Boa Vista
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 1341 - Jardim America",124259,50,2,1,1,Jardim America
Apartamento em Estrela,"Rua Paula Xavier, 1068 - Estrela",198781,52,2,1,1,Estrela
Apartamento em Neves,"Rua do Rosario, 2882 - Neves",250731,86,2,2,1,Neves
Apartamento em Boa Vista,"Rua do Rosario, 792 - Boa Vista",147192,61,2,1,1,Boa Vista
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 2011 - Uvaranas",146501,48,1,1,0,Uvaranas
Apartamento em Olarias,"Rua Comendador Miró, 1960 - Olarias",144680,54,2,1,1,Olarias
Apartamento em Santa Paula,"Rua Balduino Taques, 391 - Santa Paula",110860,43,1,1,0,Santa Paula
Apartamento em Contorno,"Rua Comendador Miró, 1006 - Contorno",158735,63,2,1,1,Contorno
Apartamento em Contorno,"Rua Paula Xavier, 1948 - Contorno",263585,72,2,2,1,Contorno
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2264 - Olarias",181569,43,1,1,0,Olarias
Apartamento em Neves,"Av. Carlos Cavalcanti, 1119 - Neves",182277,57,2,1,1,Neves
Apartamento em Contorno,"Rua Balduino Taques, 2964 - Contorno",178577,42,1,1,0,Contorno
Apartamento em Orfãs,"Rua Comendador Miró, 2204 - Orfãs",146315,55,2,1,1,Orfãs
Apartamento em Estrela,"Rua Comendador Miró, 1993 - Estrela",77061,56,3,1,1,Estrela
Apartamento em Boa Vista,"Rua do Rosario, 2454 - Boa Vista",107883,57,2,1,1,Boa Vista
Apartamento em Contorno,"Av. Vicente Machado, 1223 - Contorno",263473,95,3,2,1,Contorno
Apartamento em Ronda,"Rua Paula Xavier, 67 - Ronda",146715,45,1,1,0,Ronda
Apartamento em Olarias,"Rua Balduino Taques, 233 - Olarias",112219,63,3,1,1,Olarias
Apartamento em Olarias,"Av. Vicente Machado, 2622 - Olarias",135718,94,3,2,1,Olarias
Apartamento em Santa Paula,"Rua Balduino Taques, 2361 - Santa Paula",161846,47,2,1,0,Santa Paula
Apartamento em Contorno,"Av. Carlos Cavalcanti, 1405 - Contorno",91488,81,2,2,1,Contorno
Apartamento em Estrela,"Rua Paula Xavier, 1966 - Estrela",325004,96,3,2,1,Estrela
Apartamento em Nova Russia,"Av. Carlos Cavalcanti, 2024 - Nova Russia",55100,45,1,1,0,Nova Russia
Apartamento em Uvaranas,"Rua Comendador Miró, 229 - Uvaranas",137730,55,2,1,1,Uvaranas
Apartamento em Jardim Carvalho,"Rua do Rosario, 1254 - Jardim Carvalho",497363,115,4,2,2,Jardim Carvalho
Apartamento em Uvaranas,"Rua Balduino Taques, 2295 - Uvaranas",85586,52,2,1,1,Uvaranas
Apartamento em Vila Estrela,"Rua do Rosario, 934 - Vila Estrela",569848,110,3,2,2,Vila Estrela
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 1227 - Jardim Sabara",116633,38,1,1,0,Jardim Sabara
Apartamento em Vila Estrela,"Rua Balduino Taques, 2507 - Vila Estrela",404824,150,5,3,2,Vila Estrela
Apartamento em Nova Russia,"Av. Vicente Machado, 2572 - Nova Russia",118931,43,1,1,0,Nova Russia
Apartamento em Orfãs,"Rua Balduino Taques, 653 - Orfãs",348529,69,2,1,1,Orfãs
Apartamento em Ronda,"Rua Balduino Taques, 651 - Ronda",189389,55,3,1,1,Ronda
Apartamento em Centro,"Rua do Rosario, 1934 - Centro",1464493,181,5,3,2,Centro
Apartamento em Contorno,"Rua Paula Xavier, 2905 - Contorno",167960,73,3,2,1,Contorno
Apartamento em Contorno,"Av. Carlos Cavalcanti, 301 - Contorno",247336,82,2,2,1,Contorno
Apartamento em Ronda,"Rua Comendador Miró, 2425 - Ronda",115780,67,2,1,1,Ronda
Apartamento em Orfãs,"Rua do Rosario, 930 - Orfãs",177778,39,1,1,0,Orfãs
Apartamento em Jardim Carvalho,"Av. Vicente Machado, 302 - Jardim Carvalho",125779,39,1,1,0,Jardim Carvalho
Apartamento em Oficinas,"Rua Paula Xavier, 2447 - Oficinas",264908,82,3,2,1,Oficinas
Apartamento em Contorno,"Av. Carlos Cavalcanti, 2830 - Contorno",203603,55,2,1,1,Contorno
Apartamento em Contorno,"Rua Paula Xavier, 2059 - Contorno",136904,36,1,1,0,Contorno
Apartamento em Olarias,"Rua Balduino Taques, 2459 - Olarias",60276,53,2,1,1,Olarias
Apartamento em Oficinas,"Rua Comendador Miró, 1330 - Oficinas",256348,66,2,1,1,Oficinas
Apartamento em Boa Vista,"Av. Vicente Machado, 2771 - Boa Vista",44840,53,3,1,1,Boa Vista
Apartamento em Centro,"Rua Comendador Miró, 1113 - Centro",356065,117,3,2,2,Centro
Apartamento em Oficinas,"Av. Vicente Machado, 1937 - Oficinas",193329,50,2,1,1,Oficinas
Apartamento em Jardim Sabara,"Rua Paula Xavier, 753 - Jardim Sabara",81467,39,1,1,0,Jardim Sabara
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 383 - Vila Estrela",642683,131,3,3,2,Vila Estrela
Apartamento em Santa Paula,"Rua Paula Xavier, 1325 - Santa Paula",107819,63,2,1,1,Santa Paula
Apartamento em Nova Russia,"Rua Paula Xavier, 1696 - Nova Russia",89259,43,1,1,0,Nova Russia
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 2263 - Santa Paula",96575,40,1,1,0,Santa Paula
Apartamento em Oficinas,"Rua Paula Xavier, 1043 - Oficinas",135532,46,1,1,0,Oficinas
Apartamento em Neves,"Av. Carlos Cavalcanti, 2117 - Neves",223947,55,3,1,1,Neves
Apartamento em Centro,"Rua do Rosario, 1902 - Centro",387140,98,3,2,1,Centro
Apartamento em Vila Estrela,"Rua do Rosario, 1491 - Vila Estrela",396183,82,3,2,1,Vila Estrela
Apartamento em Santa Paula,"Rua Balduino Taques, 843 - Santa Paula",203410,68,2,1,1,Santa Paula
Apartamento em Boa Vista,"Rua Paula Xavier, 1804 - Boa Vista",93401,45,1,1,0,Boa Vista
Apartamento em Santa Paula,"Rua Comendador Miró, 2503 - Santa Paula",68398,30,2,1,0,Santa Paula
Apartamento em Ronda,"Rua Paula Xavier, 2266 - Ronda",105603,82,2,2,1,Ronda
Apartamento em Centro,"Rua Balduino Taques, 930 - Centro",604863,81,2,2,1,Centro
Apartamento em Nova Russia,"Rua Balduino Taques, 2663 - Nova Russia",174713,59,2,1,1,Nova Russia
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 1205 - Jardim Carvalho",1346564,140,3,3,2,Jardim Carvalho
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 1986 - Jardim Sabara",95906,40,1,1,0,Jardim Sabara
Apartamento em Santa Paula,"Rua do Rosario, 602 - Santa Paula",70460,58,2,1,1,Santa Paula
Apartamento em Jardim America,"Rua do Rosario, 2091 - Jardim America",66322,35,2,1,0,Jardim America
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 1709 - Jardim Carvalho",233748,58,2,1,1,Jardim Carvalho
Apartamento em Neves,"Rua do Rosario, 1104 - Neves",273329,71,2,2,1,Neves
Apartamento em Centro,"Rua do Rosario, 2385 - Centro",808062,162,5,3,2,Centro
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 2216 - Santa Paula",107599,42,1,1,0,Santa Paula
Apartamento em Santa Paula,"Rua do Rosario, 2235 - Santa Paula",237983,64,2,1,1,Santa Paula
Apartamento em Jardim America,"Rua Paula Xavier, 782 - Jardim America",85180,51,2,1,1,Jardim America
Apartamento em Ronda,"Av. Vicente Machado, 1692 - Ronda",64782,36,1,1,0,Ronda
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 2898 - Oficinas",522288,118,3,2,2,Oficinas
Apartamento em Jardim America,"Rua Comendador Miró, 2680 - Jardim America",88393,64,2,1,1,Jardim America
Apartamento em Jardim Carvalho,"Rua Balduino Taques, 527 - Jardim Carvalho",297778,74,2,2,1,Jardim Carvalho
Apartamento em Jardim Sabara,"Rua Paula Xavier, 421 - Jardim Sabara",85095,42,1,1,0,Jardim Sabara
Apartamento em Santo Antonio,"Av. Carlos Cavalcanti, 72 - Santo Antonio",106630,42,2,1,0,Santo Antonio
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 642 - Jardim Carvalho",475700,88,2,2,1,Jardim Carvalho
Apartamento em Uvaranas,"Rua Paula Xavier, 1396 - Uvaranas",94662,41,1,1,0,Uvaranas
Apartamento em Jardim America,"Rua Paula Xavier, 2772 - Jardim America",138623,68,2,1,1,Jardim America
Apartamento em Olarias,"Rua Paula Xavier, 2577 - Olarias",116029,40,1,1,0,Olarias
Apartamento em Santa Paula,"Rua Balduino Taques, 2539 - Santa Paula",175403,68,2,1,1,Santa Paula
Apartamento em Uvaranas,"Rua Comendador Miró, 1187 - Uvaranas",74526,64,2,1,1,Uvaranas
